EPGChannelID,ChannelName,GuideChannelNum,StreamURL,NumCaptionTracks,Error
4350,TMC Xtra - Eastern,1839,https://str2atl270.mdu1.tv/TMC_EXTRA-1839/index.m3u8,3,
4349,Universal Kids,1517,https://str2atl270.mdu1.tv/UNIV-KIDS-1517/index.m3u8,3,
4267,HDNet Movies,1753,https://str2atl270.mdu1.tv/HD_NET-1753/index.m3u8,3,
4226,The Cooking Channel,1406,https://str2atl270.mdu1.tv/COOKING-1406/index.m3u8,3,
4225,Discovery Family Channel,1208,https://str2atl270.mdu1.tv/DISCOVERY_FAM-1208/index.m3u8,3,
4223,Starz Comedy - Eastern,1823,https://str2atl270.mdu1.tv/STARZ_COMEDY-1823/index.m3u8,3,
4220,"MeTV (WCTV2) Tallahassee, FL",7,https://local.tal.mdu1.net/WCTV.2/index.m3u8,1,
4206,Starz Encore Black - Eastern,1817,https://str2atl270.mdu1.tv/ENCORE_BLACK-1817/index.m3u8,3,
4175,ReelzChannel,1754,https://str2atl270.mdu1.tv/REELZ-1754/index.m3u8,3,
3972,AXS TV North America,1500,https://str2atl270.mdu1.tv/AXS-1500/index.m3u8,3,
3423,C-SPAN 3,1133,https://str2atl270.mdu1.tv/CSPAN3-1133/index.m3u8,3,
3331,ESPN U,1604,https://str2atl270.mdu1.tv/ESPN-U-1604/index.m3u8,3,
3256,Enlace,556,https://str2atl270.mdu1.tv/ENLACE-556/index.m3u8,2,
3223,"FOX54.2 Huntsville, AL",8,https://local.clift.mdu1.net/WAMY/index.m3u8,1,
3218,"FOX54.1 Huntsville, AL",54,https://local.clift.mdu1.net/WZDX/index.m3u8,-1, http error 404 not found
3217,"CBS (WHNT) Huntsville, AL",19,https://local.clift.mdu1.net/WHNT/index.m3u8,1,
3216,"NBC (WAFF) Hunstville, AL",48,https://local.clift.mdu1.net/WAFF/index.m3u8,-1, http error 404 not found
3215,"ABC (WAAY) Huntsville, AL",31,https://local.clift.mdu1.net/WAAY/index.m3u8,1,
3115,CBS Sports Network USA,1607,https://str2atl270.mdu1.tv/CBS_SPORTS-1607/index.m3u8,3,
